"CompanyNumber","CompanyName","CompanyCategory","CompanyStatus","IncorporationDate","CompanyAdd","SICCode1","SICCode2","SICCode3","SICCode4"
"04485831","DIVACONTEMPORARY LTD.","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",2002-07-15,"DT6 3QE","90030 - Artistic creation","FALSE","FALSE","FALSE"
"03189410","THE ENVIRONMENTAL INVESTMENT ORGANISATION (EIO) LIMITED","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",1996-04-23,"GU10 3DX","99000 - Activities of extraterritorial organizations and bodies","FALSE","FALSE","FALSE"
"SC457495","EUAN'S GUIDE LIMITED","Private Limited Company","Active",2013-08-23,"EH2 4DF","63990 - Other information service activities not elsewhere classified","FALSE","FALSE","FALSE"
"05244802","FAIRSAY LIMITED","Private Limited Company","Active",2004-09-29,"EC1V 1NQ","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
"05070887","FIRST UTILITY LIMITED","Private Limited Company","Active",2004-03-11,"CV34 5AH","35140 - Trade of electricity","FALSE","FALSE","FALSE"
"02194957","PUBLIC SERVICE BROADCASTING TRUST","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",1987-11-17,"SO23 9HE","59113 - Television programme production activities","FALSE","FALSE","FALSE"
"08405964","FOLK LABS LTD","Private Limited Company","Active",2013-02-18,"BN3 6HA","62012 - Business and domestic software development","FALSE","FALSE","FALSE"
"07844119","FRAM3 LIMITED","Private Limited Company","Active",2011-11-11,"SA1 1YH","46900 - Non-specialised wholesale trade","62020 - Information technology consultancy activities","62090 - Other information technology service activities","74909 - Other professional, scientific and technical activities not elsewhere classified"
"04813599","FRAUDSCREEN LIMITED","Private Limited Company","Active",2003-06-27,"CO10 2AA","71200 - Technical testing and analysis","FALSE","FALSE","FALSE"
"02312426","FULL CIRCLE ARTS","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",1988-11-03,"M2 2BE","90030 - Artistic creation","FALSE","FALSE","FALSE"
"07865458","FUTURESCAPER LIMITED","Private Limited Company","Active",2011-11-30,"EC2A 4BX","82990 - Other business support service activities not elsewhere classified","FALSE","FALSE","FALSE"
"05783558","GREEN ENERGY OPTIONS LTD","Private Limited Company","Active",2006-04-18,"CB23 7QS","26400 - Manufacture of consumer electronics","63110 - Data processing, hosting and related activities","FALSE","FALSE"
"07878104","GIVE WHAT YOU'RE GOOD AT LIMITED","Private Limited Company","Active",2011-12-12,"MK40 3HD","62012 - Business and domestic software development","63120 - Web portals","FALSE","FALSE"
"05824642","GLOBALGIVING UK","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",2006-05-22,"SE1 7NQ","63120 - Web portals","88990 - Other social work activities without accommodation not elsewhere classified","96090 - Other service activities not elsewhere classified","FALSE"
"07093686","GO CAR SHARE LTD","Private Limited Company","Active",2009-12-02,"SW6 7PX","49390 - Other passenger land transport","FALSE","FALSE","FALSE"
"07869341","GROUPEDIN LIMITED","Private Limited Company","Active",2011-12-02,"BD8 8QQ","94110 - Activities of business and employers membership organizations","FALSE","FALSE","FALSE"
"04560091","THE HOUSING ASSOCIATIONS' CHARITABLE TRUST","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",2002-10-11,"N1 6AH","62090 - Other information technology service activities","63110 - Data processing, hosting and related activities","72200 - Research and experimental development on social sciences and humanities","94110 - Activities of business and employers membership organizations"
"04332105","HANSARD SOCIETY LIMITED","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",2001-11-30,"EC2V 8EA","85590 - Other education not elsewhere classified","94920 - Activities of political organizations","FALSE","FALSE"
"08596436","THE STA&R COMPANY LTD","Private Limited Company","Active",2013-07-04,"GU3 3JJ","99999 - Dormant Company","FALSE","FALSE","FALSE"
"08949638","HUMANITY ONLINE LTD","Private Limited Company","Active",2014-03-20,"N16 5RB","None Supplied","FALSE","FALSE","FALSE"
"04886072","INMARSAT PLC","Public Limited Company","Active",2003-09-03,"EC1Y 1AX","70100 - Activities of head offices","FALSE","FALSE","FALSE"
"08494054","SLAPSTICKS CREATIVE LTD","Private Limited Company","Voluntary Arrangement",2013-04-18,"W1T 1DG","73110 - Advertising agencies","FALSE","FALSE","FALSE"
"07988193","THE JOIN IN TRUST LIMITED","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",2012-03-13,"W1W 7RQ","93199 - Other sports activities","FALSE","FALSE","FALSE"
"06010285","DASH LABS CONSULTING LTD","Private Limited Company","Active",2006-11-27,"BN3 2BD","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
"08808447","KNOWDATA LIMITED","Private Limited Company","Active",2013-12-10,"NG1 5DT","63110 - Data processing, hosting and related activities","FALSE","FALSE","FALSE"
"07663081","KEO ENERGYSHARE LIMITED","Private Limited Company","Active",2011-06-09,"TR7 2NE","70210 - Public relations and communications activities","FALSE","FALSE","FALSE"
"07158006","LEAD FORENSICS LIMITED","Private Limited Company","Active",2010-02-15,"PO6 3EN","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"08244058","LEADING EDGE ONLY LTD","Private Limited Company","Active",2012-10-08,"MK9 2HR","82990 - Other business support service activities not elsewhere classified","FALSE","FALSE","FALSE"
"07117843","LOOK 4 NURSERIES UK LIMITED","Private Limited Company","Active",2010-01-06,"N12 0DR","63120 - Web portals","FALSE","FALSE","FALSE"
"07780310","MICROGENIUS LTD","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",2011-09-20,"M60 0AS","64999 - Financial intermediation not elsewhere classified","FALSE","FALSE","FALSE"
"03134834","MUDDY BOOTS SOFTWARE LIMITED","Private Limited Company","Active",1995-12-06,"HR9 7XU","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"07459713","MY SUPPORT BROKER C.I.C.","Community Interest Company","Active",2010-12-03,"TN22 5QD","96090 - Other service activities not elsewhere classified","FALSE","FALSE","FALSE"
"08117427","MYLEARNINGWORX LIMITED","Private Limited Company","Active",2012-06-25,"RG40 1AP","63120 - Web portals","FALSE","FALSE","FALSE"
"08070190","NEIGHBOURS CAN HELP (UK) LIMITED","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",2012-05-15,"S1 4BA","96090 - Other service activities not elsewhere classified","FALSE","FALSE","FALSE"
"NI032276","NERVE CENTRE - THE","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",NA,"BT48 6HJ","90040 - Operation of arts facilities","FALSE","FALSE","FALSE"
"03193399","NEW ECONOMICS FOUNDATION","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",1996-05-01,"SE11 5NH","85590 - Other education not elsewhere classified","FALSE","FALSE","FALSE"
"02212202","NOKIA UK LIMITED","Private Limited Company","Active",1988-01-20,"EC2A 2RS","33200 - Installation of industrial machinery and equipment","FALSE","FALSE","FALSE"
"00045810","OGILVY & MATHER GROUP (HOLDINGS) LIMITED","Private Limited Company","Active",1895-10-30,"E14 4QB","73110 - Advertising agencies","FALSE","FALSE","FALSE"
"07462174","DATASMITHS SOLUTIONS LIMITED","Private Limited Company","Active",2010-12-07,"SE16 5SZ","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
"04873295","PAERS LIMITED","Private Limited Company","Active",2003-08-20,"LN1 1XW","96090 - Other service activities not elsewhere classified","FALSE","FALSE","FALSE"
"04572417","PAOGA LIMITED","Private Limited Company","Active",2002-10-24,"LU1 2SJ","62020 - Information technology consultancy activities","63110 - Data processing, hosting and related activities","FALSE","FALSE"
"06279941","PARTICIPLE LIMITED","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",2007-06-14,"SE1 3LE","74100 - specialised design activities","FALSE","FALSE","FALSE"
"08676757","PEERBY LIMITED","Private Limited Company","Active",2013-09-04,"N1 7GU","74909 - Other professional, scientific and technical activities not elsewhere classified","FALSE","FALSE","FALSE"
"02699701","PENRHYS PARTNERSHIP LIMITED","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",1992-03-24,"CF43 3NS","85310 - General secondary education","88990 - Other social work activities without accommodation not elsewhere classified","FALSE","FALSE"
"03083575","PEOPLE'S VOICE MEDIA","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",1995-07-25,"M6 6FP","85590 - Other education not elsewhere classified","FALSE","FALSE","FALSE"
"08336833","PHOTOFOUNDATION LTD","Private Limited Company","Active",2012-12-19,"B1 8LA","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"04563293","PLAN URBAN PROJECTS LTD","Private Limited Company","Active",2002-10-15,"E2 6AJ","96090 - Other service activities not elsewhere classified","FALSE","FALSE","FALSE"
"03347926","POSTCODE ANYWHERE (EUROPE) LIMITED","Private Limited Company","Active",1997-04-09,"WR5 3DA","63110 - Data processing, hosting and related activities","FALSE","FALSE","FALSE"
"09131843","PROJECT ORACLE EVIDENCE HUB","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",2014-07-15,"SW1Y 4TE","None Supplied","FALSE","FALSE","FALSE"
"OC303525","PRICEWATERHOUSECOOPERS LLP","Limited Liability Partnership","Active",2002-12-09,"WC2N 6RH","None Supplied","FALSE","FALSE","FALSE"
"05411976","QUARTET FINANCIAL SYSTEMS LIMITED","Private Limited Company","Active",2005-04-04,"W4 1EL","58290 - Other software publishing","62012 - Business and domestic software development","62020 - Information technology consultancy activities","FALSE"
"07474165","RADIUMONE (UK) LIMITED","Private Limited Company","Active",2010-12-20,"WC2E 9BT","73110 - Advertising agencies","FALSE","FALSE","FALSE"
"08398001","REVOLUTION ANALYTICS LIMITED","Private Limited Company","Active",2013-02-11,"HP9 1NB","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
"SC163518","SCRAN LIMITED","Private Limited Company","Active",1996-02-20,"EH8 9NX","85520 - Cultural education","91012 - Archives activities","FALSE","FALSE"
"08230187","SIXTEEN25","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",2012-09-26,"WC2H 8LS","86900 - Other human health activities","FALSE","FALSE","FALSE"
"08025667","SOCIAL CHIC LTD","Private Limited Company","Active",2012-04-11,"BN3 6HA","70210 - Public relations and communications activities","FALSE","FALSE","FALSE"
"07787594","SOCIAL FABRIC INTERACTIVE LIMITED","Private Limited Company","Active",2011-09-26,"SL7 2LS","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"06312190","SOCIAL STOCK EXCHANGE LIMITED","Private Limited Company","Active",2007-07-13,"EC3V 3DG","82990 - Other business support service activities not elsewhere classified","FALSE","FALSE","FALSE"
"02853022","SOLIDSOFT REPLY LIMITED","Private Limited Company","Active",1993-09-14,"SW1W 0EB","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
"07045667","STARTING POINT COMMUNITY LEARNING PARTNERSHIP LIMITED","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",2009-10-15,"SK6 1RJ","85320 - Technical and vocational secondary education","FALSE","FALSE","FALSE"
"07115545","STICKYBOARD LTD","Private Limited Company","Active",2010-01-04,"SE9 2BD","82990 - Other business support service activities not elsewhere classified","FALSE","FALSE","FALSE"
"07570195","STORYTHINGS LTD","Private Limited Company","Active",2011-03-18,"BN44 3WN","62011 - Ready-made interactive leisure and entertainment software development","FALSE","FALSE","FALSE"
"07196440","TALIS SYSTEMS LIMITED","Private Limited Company","Active",2010-03-19,"B1 3HN","63120 - Web portals","FALSE","FALSE","FALSE"
"OC366391","COOPER RYLATT LLP","Limited Liability Partnership","Active",2011-07-12,"PE11 4DH","None Supplied","FALSE","FALSE","FALSE"
"08865619","THE BETTER WITH DATA SOCIETY","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",2014-01-28,"S1 4FW","63110 - Data processing, hosting and related activities","FALSE","FALSE","FALSE"
"SC291663","THE MELTING POT","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",2005-10-13,"EH2 2PR","68209 - Other letting and operating of own or leased real estate","FALSE","FALSE","FALSE"
"06758215","RASPBERRY PI FOUNDATION","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",2008-11-25,"CB3 0RN","74909 - Other professional, scientific and technical activities not elsewhere classified","FALSE","FALSE","FALSE"
"05756723","VOLUNTEER CENTRE BLACKPOOL, WYRE AND FYLDE LIMITED","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",2006-03-27,"FY3 9EQ","94990 - Activities of other membership organizations not elsewhere classified","FALSE","FALSE","FALSE"
"07088009","THECITYUK","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",2009-11-26,"EC2M 5QQ","94110 - Activities of business and employers membership organizations","FALSE","FALSE","FALSE"
"08722559","TILL STRATEGIC GROUP HOLDINGS LIMITED","Private Limited Company","Active",2013-10-08,"EC2A 4RR","70100 - Activities of head offices","FALSE","FALSE","FALSE"
"05887661","TINDER FOUNDATION","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",2006-07-26,"S1 2BX","85590 - Other education not elsewhere classified","FALSE","FALSE","FALSE"
"05987111","AMBT LIMITED","Private Limited Company","Active",2006-11-02,"W1T 3JS","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"02591237","VIRGIN MEDIA LIMITED","Private Limited Company","Active",1991-03-13,"RG27 9UP","61900 - Other telecommunications activities","62090 - Other information technology service activities","82990 - Other business support service activities not elsewhere classified","FALSE"
"03469264","VOCALEYES","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",1997-11-21,"E1 6LT","90020 - Support activities to performing arts","91020 - Museums activities","FALSE","FALSE"
"00215695","VOLUNTARY ACTION SHEFFIELD","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",1926-08-16,"S1 4FW","94990 - Activities of other membership organizations not elsewhere classified","FALSE","FALSE","FALSE"
"08531678","VOXUP LIMITED","Private Limited Company","Active",2013-05-16,"EC1V 4PW","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"03548462","WORKING ACTIVELY TO CHANGE HILLFIELDS LIMITED","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",1998-04-17,"CV1 5LZ","78109 - Other activities of employment placement agencies","FALSE","FALSE","FALSE"
"SC373366","WE ARE SNOOK LIMITED","Private Limited Company","Active",2010-02-19,"KA1 2EB","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"00677665","WHICH? LIMITED","Private Limited Company","Active",1960-12-13,"NW1 4DF","58142 - Publishing of  consumer and business journals and periodicals","58190 - Other publishing activities","58290 - Other software publishing","FALSE"
"04290447","WHITSTABLE UMBRELLA COMMUNITY SUPPORT CENTRE","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",2001-09-19,"CT5 1DD","88100 - Social work activities without accommodation for the elderly and disabled","88990 - Other social work activities without accommodation not elsewhere classified","FALSE","FALSE"
"OC304378","WRAGGE LAWRENCE GRAHAM & CO LLP","Limited Liability Partnership","Active",2003-04-07,"SE1 2AU","None Supplied","FALSE","FALSE","FALSE"
"07024145","100% OPEN LIMITED","Private Limited Company","Active",2009-09-20,"WC2R 1LA","70229 - Management consultancy activities other than financial management","FALSE","FALSE","FALSE"
"04544799","1060 RESEARCH LIMITED","Private Limited Company","Active",2002-09-25,"BS37 6EE","58290 - Other software publishing","FALSE","FALSE","FALSE"
"06642193","38 DEGREES","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",2008-07-09,"EC1R 0NE","94990 - Activities of other membership organizations not elsewhere classified","FALSE","FALSE","FALSE"
"09014101","3D REPO LTD","Private Limited Company","Active",2014-04-28,"WC1H 0PP","None Supplied","FALSE","FALSE","FALSE"
"07941015","3TIER (EUROPE) LIMITED","Private Limited Company","Active",2012-02-08,"WC2B 5AH","82990 - Other business support service activities not elsewhere classified","FALSE","FALSE","FALSE"
"OC381725","ACTUATED FUTURES LLP","Limited Liability Partnership","Active",2013-01-18,"LS11 6AD","None Supplied","FALSE","FALSE","FALSE"
"SC101089","ADOBE SYSTEMS EUROPE LIMITED","Private Limited Company","Active",1986-09-29,"G2 1AL","82990 - Other business support service activities not elsewhere classified","FALSE","FALSE","FALSE"
"07301894","ADHUNTER LIMITED","Private Limited Company","Active",2010-07-01,"SW6 3BN","63120 - Web portals","FALSE","FALSE","FALSE"
"RC000800","THE ARTS AND HUMANITIES RESEARCH COUNCIL",NA,NA,NA,"SW6 3BN",NA,"FALSE","FALSE","FALSE"
"07692995","AIDA TECHNOLOGY LTD","Private Limited Company","Active",2011-07-05,"M15 6JJ","82990 - Other business support service activities not elsewhere classified","FALSE","FALSE","FALSE"
"05658020","AIMES GRID SERVICES COMMUNITY INTEREST COMPANY","Community Interest Company","Active",2005-12-19,"L7 9NJ","61100 - Wired telecommunications activities","62020 - Information technology consultancy activities","62030 - Computer facilities management activities","63110 - Data processing, hosting and related activities"
"05821446","AIMIA EMEA LIMITED","Private Limited Company","Active",2006-05-18,"WC2R 0NN","74909 - Other professional, scientific and technical activities not elsewhere classified","FALSE","FALSE","FALSE"
"08644182","AISTEMOS LIMITED","Private Limited Company","Active",2013-08-09,"N20 0XG","63990 - Other information service activities not elsewhere classified","FALSE","FALSE","FALSE"
"04429260","ALFRESCO SOFTWARE LIMITED","Private Limited Company","Active",2002-05-01,"SL6 1AF","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"OC378472","ALTMETRIC LLP","Limited Liability Partnership","Active",2012-09-17,"RG21 6XS","None Supplied","FALSE","FALSE","FALSE"
"02379479","AMEY PLC","Public Limited Company","Active",1989-05-04,"OX4 4DQ","70100 - Activities of head offices","84110 - General public administration activities","FALSE","FALSE"
"08054876","APPNOVATION TECHNOLOGIES LIMITED","Private Limited Company","Active",2012-05-02,"WC1N 2EB","62012 - Business and domestic software development","FALSE","FALSE","FALSE"
"02768550","ARIUM LIMITED","Private Limited Company","Active",1992-11-27,"EC3N 2LS","62012 - Business and domestic software development","FALSE","FALSE","FALSE"
"04006623","ASOS PLC","Public Limited Company","Active",2000-06-02,"NW1 7FB","70100 - Activities of head offices","FALSE","FALSE","FALSE"
"01245534","ATOS IT SERVICES UK LIMITED","Private Limited Company","Active",1976-02-23,"NW1 3HG","26200 - Manufacture of computers and peripheral equipment","62090 - Other information technology service activities","70229 - Management consultancy activities other than financial management","86900 - Other human health activities"
"07296537","AYOUPA LIMITED","Private Limited Company","Active",2010-06-28,"E5 9NY","62012 - Business and domestic software development","FALSE","FALSE","FALSE"
"03699262","BLACKBURN IT SERVICES LIMITED","Private Limited Company","Active",1999-01-21,"BN21 2AH","62030 - Computer facilities management activities","FALSE","FALSE","FALSE"
"RC000707","THE BIOTECHNOLOGY AND BIOLOGICAL SCIENCES RESEARCH COUNCIL",NA,NA,NA,"BN21 2AH",NA,"FALSE","FALSE","FALSE"
"08655161","BERG CLOUD LIMITED","Private Limited Company","Active",2013-08-19,"W10 5BN","62012 - Business and domestic software development","FALSE","FALSE","FALSE"
"07081179","STUDENT INFORMATION SERVICES LIMITED","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",2009-11-19,"SE1 8NW","85600 - Educational support services","FALSE","FALSE","FALSE"
"07514847","BUSINESS GROWTH FUND PLC","Public Limited Company","Active",2011-02-02,"SW1H 0AD","64303 - Activities of venture and development capital companies","FALSE","FALSE","FALSE"
"08812630","BIBBLIO LEARNING LIMITED","Private Limited Company","Active",2013-12-12,"N5 2HS","63120 - Web portals","FALSE","FALSE","FALSE"
"08356076","BLUE YONDER (UK) LTD","Private Limited Company","Dissolved",2013-01-10,"SW15 1JP","70229 - Management consultancy activities other than financial management","FALSE","FALSE","FALSE"
"07417196","BP ASSOCIATES LIMITED","Private Limited Company","Active",2010-10-25,"RG40 1AL","99999 - Dormant Company","FALSE","FALSE","FALSE"
"OC349012","BPE SOLICITORS LLP","Limited Liability Partnership","Active",2009-09-28,"GL50 3PR","None Supplied","FALSE","FALSE","FALSE"
"03319324","BUILDING RESEARCH ESTABLISHMENT LIMITED","Private Limited Company","Active",1997-02-17,"WD25 9XX","72190 - Other research and experimental development on natural sciences and engineering","FALSE","FALSE","FALSE"
"07940506","BRIGHT BLUE CAMPAIGN","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",2012-02-07,"N1 4EA","70210 - Public relations and communications activities","FALSE","FALSE","FALSE"
"05976886","BROADSIGHT LIMITED","Private Limited Company","Active",2006-10-24,"CM2 7JA","74990 - Non-trading company","FALSE","FALSE","FALSE"
"00943935","CAPGEMINI UK PLC","Public Limited Company","Active",1968-12-10,"GU21 6DB","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
"07524391","CARBONCULTURE LIMITED","Private Limited Company","Active",2011-02-10,"EC2A 4JE","74990 - Non-trading company","FALSE","FALSE","FALSE"
"03230513","CARTESIAN LIMITED","Private Limited Company","Active",1996-07-29,"WC2A 3HP","62012 - Business and domestic software development","62020 - Information technology consultancy activities","FALSE","FALSE"
"05698370","CASTLE COVER LIMITED","Private Limited Company","Active",2006-02-06,"SO53 3YA","74990 - Non-trading company","FALSE","FALSE","FALSE"
"08609765","C.E.I.C LIMITED","Private Limited Company","Dissolved",2013-07-15,"SE6 3RT","None Supplied","FALSE","FALSE","FALSE"
"07262036","CH2M HILL EUROPE LIMITED","Private Limited Company","Active",2010-05-21,"W6 7EF","71129 - Other engineering activities","FALSE","FALSE","FALSE"
"07838003","CITY FARMERS C.I.C.","Community Interest Company","Active",2011-11-07,"SE19 2RU","74100 - specialised design activities","74901 - Environmental consulting activities","FALSE","FALSE"
"06636109","CLEAR BOOKS PLC","Public Limited Company","Active",2008-07-02,"W14 0QL","62012 - Business and domestic software development","FALSE","FALSE","FALSE"
"06568048","COGENT ANALYTICS LTD","Private Limited Company","Active",2008-04-16,"EC3A 7BU","63990 - Other information service activities not elsewhere classified","FALSE","FALSE","FALSE"
"08481503","COMMON FUTURES LTD","Private Limited Company","Active",2013-04-09,"CO7 9DS","70229 - Management consultancy activities other than financial management","FALSE","FALSE","FALSE"
"01393773","COSTAIN GROUP PLC","Public Limited Company","Active",1978-10-12,"SL6 4UB","42110 - Construction of roads and motorways","70100 - Activities of head offices","71129 - Other engineering activities","FALSE"
"00025185","CYCLISTS TOURING CLUB.","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",1887-10-19,"GU2 9JX","94990 - Activities of other membership organizations not elsewhere classified","FALSE","FALSE","FALSE"
"06800865","CTRL-SHIFT LIMITED","Private Limited Company","Active",2009-01-26,"WC2R 1LA","96090 - Other service activities not elsewhere classified","FALSE","FALSE","FALSE"
"06948959","CYCLESTREETS LIMITED","Private Limited Company","Active",2009-07-01,"CB1 2PY","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"06542015","CYSCOM LIMITED","Private Limited Company","Active",2008-03-25,"SW3 4QY","62012 - Business and domestic software development","FALSE","FALSE","FALSE"
"08229538","CYTORA LIMITED","Private Limited Company","Active",2012-09-26,"SE24 9BD","82990 - Other business support service activities not elsewhere classified","FALSE","FALSE","FALSE"
"03847379","DATACTICS LIMITED","Private Limited Company","Active",1999-09-23,"WC1R 4JS","62012 - Business and domestic software development","63110 - Data processing, hosting and related activities","FALSE","FALSE"
"08462148","DATAKIND (UK) LIMITED","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",2013-03-26,"N1 5SZ","63990 - Other information service activities not elsewhere classified","FALSE","FALSE","FALSE"
"06458599","DEMAND LOGIC LIMITED","Private Limited Company","Active",2007-12-20,"B93 8JP","74901 - Environmental consulting activities","FALSE","FALSE","FALSE"
"03856988","DIALOGUE BY DESIGN LIMITED","Private Limited Company","Active",1999-10-11,"WC1X 8XG","70229 - Management consultancy activities other than financial management","FALSE","FALSE","FALSE"
"08407866","DIGI2AL LIMITED","Private Limited Company","Active",2013-02-18,"B2 5LG","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"05150664","DIGITAL INTEGRATION TECHNOLOGY LIMITED","Private Limited Company","Active",2004-06-10,"CB23 6JN","58290 - Other software publishing","FALSE","FALSE","FALSE"
"08585251","DNADIGEST","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",2013-06-26,"CB22 5NE","62012 - Business and domestic software development","FALSE","FALSE","FALSE"
"01262354","DODS PARLIAMENTARY COMMUNICATIONS LIMITED","Private Limited Company","Active",1976-06-10,"SW1H 9BP","58142 - Publishing of  consumer and business journals and periodicals","FALSE","FALSE","FALSE"
"08630298","DR DOCTOR LIMITED","Private Limited Company","Active",2013-07-30,"W1F 0TD","86210 - General medical practice activities","FALSE","FALSE","FALSE"
"07826977","ENERGYDECK LTD","Private Limited Company","Active",2011-10-28,"EC2A 2BB","63120 - Web portals","FALSE","FALSE","FALSE"
"08163131","ENGAGED INVESTMENT LIMITED","Private Limited Company","Active",2012-07-31,"EC4A 3LX","64999 - Financial intermediation not elsewhere classified","FALSE","FALSE","FALSE"
"07016688","EPIMORPHICS LIMITED","Private Limited Company","Active",2009-09-11,"BS20 6PT","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
"RC000708","THE ENGINEERING AND PHYSICAL SCIENCES RESEARCH COUNCIL",NA,NA,NA,"BS20 6PT",NA,"FALSE","FALSE","FALSE"
"RC000555","THE ECONOMIC AND SOCIAL RESEARCH COUNCIL",NA,NA,NA,"BS20 6PT",NA,"FALSE","FALSE","FALSE"
"04235243","ESYNERGY SOLUTIONS LIMITED","Private Limited Company","Active",2001-06-15,"EC3M 3JY","78200 - Temporary employment agency activities","FALSE","FALSE","FALSE"
"OC300001","ERNST & YOUNG LLP","Limited Liability Partnership","Active",2001-04-06,"SE1 2AF","None Supplied","FALSE","FALSE","FALSE"
"06298825","FIND MAPPING LIMITED","Private Limited Company","Active",2007-07-02,"NW1 3ER","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
"04852559","FLEXEYE LTD","Private Limited Company","Active",2003-07-31,"GU9 7PT","62012 - Business and domestic software development","FALSE","FALSE","FALSE"
"07256099","FLYINGBINARY LIMITED","Private Limited Company","Active",2010-05-18,"IG8 7LS","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
"06472420","FUTUREGOV. LTD","Private Limited Company","Active",2008-01-14,"CO9 3ER","70229 - Management consultancy activities other than financial management","FALSE","FALSE","FALSE"
"OC382974","GEOLYTIX LLP","Limited Liability Partnership","Active",2013-03-01,"TN1 1NU","None Supplied","FALSE","FALSE","FALSE"
"07851914","GHOSTERY LIMITED","Private Limited Company","Active",2011-11-17,"EC3N 2AA","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"03977902","GOOGLE UK LIMITED","Private Limited Company","Active",2000-04-20,"SW1W 9TQ","82990 - Other business support service activities not elsewhere classified","FALSE","FALSE","FALSE"
"03298691","GRIFFIN BROWN DIGITAL PUBLISHING LIMITED","Private Limited Company","Active",1997-01-02,"CR3 0HA","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
"04575510","HARVEY WALSH LIMITED","Private Limited Company","Active",2002-10-29,"SW1P 9ZP","58290 - Other software publishing","FALSE","FALSE","FALSE"
"07505343","HEALTH IQ LIMITED","Private Limited Company","Active",2011-01-25,"E1 1DU","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
