"CompanyNumber","CompanyName","CompanyCategory","CompanyStatus","IncorporationDate","CompanyAdd","SICCode1","SICCode2","SICCode3","SICCode4"
"IP032340","THE GOOD DATA CO-OPERATIVE LIMITED",NA,NA,NA,"SW7 5BD",NA,"FALSE","FALSE","FALSE"
"03487186","LOCAL GOVERNMENT ASSOCIATION (PROPERTIES) LIMITED","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",1997-12-22,"SW1P 3HZ","82990 - Other business support service activities not elsewhere classified","FALSE","FALSE","FALSE"
"05133759","OPEN KNOWLEDGE FOUNDATION","PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)","Active",2004-05-20,"CB4 0WS","94990 - Activities of other membership organizations not elsewhere classified","FALSE","FALSE","FALSE"
"07587834","THUMBPRINT CO-OPERATIVE LIMITED","PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","Active",2011-04-01,"HD1 4LH","62012 - Business and domestic software development","FALSE","FALSE","FALSE"
"07126880","GRAVITYSTORM LIMITED","Private Limited Company","Active",2010-01-15,"KT3 6BD","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"07043189","TOTAL CAR CHECK LTD","Private Limited Company","Active",2009-10-15,"KT3 6BD","62020 - Information technology consultancy activities","63110 - Data processing, hosting and related activities","FALSE","FALSE"
"05331312","TRANSPARENCYDATA LIMITED","Private Limited Company","Active",2005-01-13,"HP18 9AA","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
"06528765","PLACR LIMITED","Private Limited Company","Active",2008-03-10,"GU15 3SY","52290 - Other transportation support activities","62012 - Business and domestic software development","62020 - Information technology consultancy activities","63110 - Data processing, hosting and related activities"
"03826797","TRAVELINE INFORMATION LIMITED","Private Limited Company","Active",1999-08-17,"WC2B 5HA","63990 - Other information service activities not elsewhere classified","FALSE","FALSE","FALSE"
"05777893","VENTUTEC LIMITED","Private Limited Company","Active",2006-04-11,"WR1 1RU","62020 - Information technology consultancy activities","63110 - Data processing, hosting and related activities","73110 - Advertising agencies","FALSE"
"08466187","WHERE'S THIS FROM LIMITED","Private Limited Company","Active",2013-03-28,"CV1 3PP","63990 - Other information service activities not elsewhere classified","FALSE","FALSE","FALSE"
"06583455","WHYTHAWK LIMITED","Private Limited Company","Active",2008-05-02,"HP2 4TP","73200 - Market research and public opinion polling","FALSE","FALSE","FALSE"
"03778498","YORKSHIRE WATER LIMITED","Private Limited Company","Active",1999-05-27,"BD6 2SZ","74990 - Non-trading company","FALSE","FALSE","FALSE"
"06440931","ZAIZI LTD","Private Limited Company","Active",2007-11-29,"W6 7AN","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
"05197592","ZOPA LIMITED","Private Limited Company","Active",2004-08-04,"EC4A 1EN","64929 - Other credit granting not elsewhere classified","FALSE","FALSE","FALSE"
"06312735","4SL CONSULTING LIMITED","Private Limited Company","Active",2007-07-13,"EC1A 2DJ","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"07450843","A GOOD LIFE FOR ALL CIC","Community Interest Company","Active",2010-11-25,"BN1 3AN","85590 - Other education not elsewhere classified","86900 - Other human health activities","FALSE","FALSE"
