"CompanyNumber","CompanyName","AccountType"
"03319324","BUILDING RESEARCH ESTABLISHMENT LIMITED","FULL"
"07940506","BRIGHT BLUE CAMPAIGN","TOTAL EXEMPTION FULL"
"06278285","BRITISH CONSULTING LIMITED","TOTAL EXEMPTION SMALL"
"05976886","BROADSIGHT LIMITED","DORMANT"
"IP29996R","BROMFORD HOUSING GROUP LIMITED",NA
"NI071182","BUILDING CHANGE TRUST LIMITED","FULL"
"04473521","CENTRE FOR ADVANCED SOFTWARE TECHNOLOGY LIMITED","FULL"
"01926883","CAMBRIDGE ENVIRONMENTAL RESEARCH CONSULTANTS LIMITED","FULL"
"07343209","CAMPSALL OWEN LIMITED","TOTAL EXEMPTION SMALL"
"00943935","CAPGEMINI UK PLC","FULL"
"02081330","CAPITA PLC","GROUP"
"07524391","CARBONCULTURE LIMITED","DORMANT"
"03230513","CARTESIAN LIMITED","FULL"
"05698370","CASTLE COVER LIMITED","FULL"
"06745704","COMPUTING DISTRIBUTION GROUP LTD","TOTAL EXEMPTION SMALL"
"08609765","C.E.I.C LIMITED","NO ACCOUNTS FILED"
"02843595","CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS (U.K.) LIMITED","FULL"
"07262036","CH2M HILL EUROPE LIMITED","FULL"
"03963007","CITIZENS ONLINE","FULL"
"07838003","CITY FARMERS C.I.C.","TOTAL EXEMPTION SMALL"
"06636109","CLEAR BOOKS PLC","FULL"
"06568048","COGENT ANALYTICS LTD","FULL"
"08481503","COMMON FUTURES LTD","TOTAL EXEMPTION SMALL"
"06915357","PEOLSFORD LIMITED","TOTAL EXEMPTION SMALL"
"08285686","CONNECTED LIVERPOOL LIMITED","NO ACCOUNTS FILED"
"03412339","COREFILING LIMITED","SMALL"
"01393773","COSTAIN GROUP PLC","GROUP"
"03936467","CREOTEC LIMITED","TOTAL EXEMPTION SMALL"
"07831511","KEO PF.IT LIMITED","TOTAL EXEMPTION SMALL"
"00025185","CYCLISTS TOURING CLUB.","GROUP"
"06800865","CTRL-SHIFT LIMITED","TOTAL EXEMPTION SMALL"
"SC428873","CULTURE REPUBLIC","FULL"
"06948959","CYCLESTREETS LIMITED","TOTAL EXEMPTION SMALL"
"06542015","CYSCOM LIMITED","MICRO"
"08229538","CYTORA LIMITED","TOTAL EXEMPTION SMALL"
"IP032171","DATA UNLOCKED LIMITED",NA
"03847379","DATACTICS LIMITED","SMALL"
"03264646","DATA QUALITY MANAGEMENT GROUP LIMITED","TOTAL EXEMPTION SMALL"
"08462148","DATAKIND (UK) LIMITED","TOTAL EXEMPTION FULL"
"08401945","LITTLE RED IDEAS LIMITED","TOTAL EXEMPTION SMALL"
"05724296","DATASALON LTD","TOTAL EXEMPTION SMALL"
"08302817","DATA UNITY LTD","TOTAL EXEMPTION SMALL"
"01073356","DEESON GROUP LIMITED","FULL"
"05158056","DELIB LIMITED","TOTAL EXEMPTION SMALL"
"OC303675","DELOITTE LLP","GROUP"
"06458599","DEMAND LOGIC LIMITED","TOTAL EXEMPTION SMALL"
"06368740","DEVELOPMENT INITIATIVES POVERTY RESEARCH LIMITED","FULL"
"03856988","DIALOGUE BY DESIGN LIMITED","FULL"
"08407866","DIGI2AL LIMITED","DORMANT"
"05150664","DIGITAL INTEGRATION TECHNOLOGY LIMITED","TOTAL EXEMPTION SMALL"
"NI619151","DIGITAL CIRCLE (NI) LIMITED","NO ACCOUNTS FILED"
"08637230","DIGITAL CONTRAPTIONS IMAGINARIUM LTD.","TOTAL EXEMPTION SMALL"
"08087585","DIGITALSTITCH LIMITED","TOTAL EXEMPTION SMALL"
"07647791","DIMECO MEDIA SERVICES COMMUNITY INTEREST COMPANY","TOTAL EXEMPTION FULL"
"04485831","DIVACONTEMPORARY LTD.","TOTAL EXEMPTION SMALL"
"08585251","DNADIGEST","NO ACCOUNTS FILED"
"01262354","DODS PARLIAMENTARY COMMUNICATIONS LIMITED","FULL"
"08397038","DOORDA LIMITED","TOTAL EXEMPTION SMALL"
"08630298","DR DOCTOR LIMITED","TOTAL EXEMPTION SMALL"
"08386400","DISRUPTION LTD","TOTAL EXEMPTION SMALL"
"06999618","DUEDIL LIMITED","TOTAL EXEMPTION FULL"
"07252691","ANDROMEDA ENTERPRISES LIMITED","TOTAL EXEMPTION SMALL"
"03189410","THE ENVIRONMENTAL INVESTMENT ORGANISATION (EIO) LIMITED","TOTAL EXEMPTION SMALL"
"07000533","ELBATROP LIMITED","TOTAL EXEMPTION SMALL"
"07589848","ROADWORKS INFORMATION LIMITED","TOTAL EXEMPTION SMALL"
"03931726","EMAPSITE.COM LIMITED","TOTAL EXEMPTION SMALL"
"09346879","ENDOLE LTD","NO ACCOUNTS FILED"
"07826977","ENERGYDECK LTD","TOTAL EXEMPTION SMALL"
"08163131","ENGAGED INVESTMENT LIMITED","TOTAL EXEMPTION SMALL"
"07016688","EPIMORPHICS LIMITED","TOTAL EXEMPTION SMALL"
"RC000708","THE ENGINEERING AND PHYSICAL SCIENCES RESEARCH COUNCIL",NA
"RC000555","THE ECONOMIC AND SOCIAL RESEARCH COUNCIL",NA
"01288342","ESRI (UK) LIMITED","FULL"
"04235243","ESYNERGY SOLUTIONS LIMITED","FULL"
"05585987","EU TRANSPARENCY","TOTAL EXEMPTION SMALL"
"SC457495","EUANTECH LIMITED","NO ACCOUNTS FILED"
"06259559","EVOENERGY LIMITED","FULL"
"03995683","EXPARITY LIMITED","TOTAL EXEMPTION SMALL"
"OC300001","ERNST & YOUNG LLP","GROUP"
"06298825","FIND MAPPING LIMITED","TOTAL EXEMPTION SMALL"
"05244802","FAIRSAY LIMITED","MICRO"
"OC378473","FIGSHARE LLP","FULL"
"07756654","FINDASCHOOL LTD","TOTAL EXEMPTION SMALL"
"05070887","FIRST UTILITY LIMITED","FULL"
"02194957","PUBLIC SERVICE BROADCASTING TRUST","FULL"
"06690044","FLATMATEROOMS LIMITED","TOTAL EXEMPTION SMALL"
"04852559","FLEXEYE LTD","TOTAL EXEMPTION SMALL"
"07256099","FLYINGBINARY LIMITED","TOTAL EXEMPTION SMALL"
"08405964","FOLK LABS LTD","TOTAL EXEMPTION SMALL"
"07906283","SUSTAINATION LIMITED","TOTAL EXEMPTION SMALL"
"06077952","FOOTWEB LIMITED","TOTAL EXEMPTION SMALL"
"07844119","FRAM3 LIMITED","TOTAL EXEMPTION SMALL"
"04813599","FRAUDSCREEN LIMITED","TOTAL EXEMPTION SMALL"
"03967214","FUBRA LIMITED","TOTAL EXEMPTION SMALL"
"02312426","FULL CIRCLE ARTS","TOTAL EXEMPTION FULL"
"07239092","FUNDING CIRCLE TRUSTEE LIMITED","FULL"
"05822339","FUTURE EVERYTHING CIC","TOTAL EXEMPTION SMALL"
"06472420","FUTUREGOV. LTD","TOTAL EXEMPTION SMALL"
"07865458","FUTURESCAPER LIMITED","TOTAL EXEMPTION SMALL"
"07718100","GEEKY CODERS LIMITED","TOTAL EXEMPTION SMALL"
"05783558","GREEN ENERGY OPTIONS LTD","SMALL"
"06762703","GEO.ME SOLUTIONS LIMITED","TOTAL EXEMPTION SMALL"
"08641682","GEOGER LTD","TOTAL EXEMPTION SMALL"
"OC382974","GEOLYTIX SERVICES LLP","TOTAL EXEMPTION SMALL"
"SC177156","GEOWISE LIMITED","SMALL"
"07851914","GHOSTERY LIMITED","TOTAL EXEMPTION FULL"
"07878104","GIVE WHAT YOU'RE GOOD AT LIMITED","TOTAL EXEMPTION SMALL"
"05824642","GLOBALGIVING UK","FULL"
"07093686","GO CAR SHARE LTD","TOTAL EXEMPTION SMALL"
"03977902","GOOGLE UK LIMITED","FULL"
"03298691","GRIFFIN BROWN DIGITAL PUBLISHING LIMITED","TOTAL EXEMPTION SMALL"
"07869341","GROUPEDIN LIMITED","DORMANT"
"07770247","GROWTH INTELLIGENCE LIMITED","TOTAL EXEMPTION FULL"
"04560091","THE HOUSING ASSOCIATIONS' CHARITABLE TRUST","FULL"
"04332105","HANSARD SOCIETY LIMITED","FULL"
"04575510","HARVEY WALSH LIMITED","FULL"
"08160507","HEALTH FABRIC LTD","TOTAL EXEMPTION SMALL"
"07505343","HEALTH IQ LIMITED","TOTAL EXEMPTION SMALL"
"09107370","HEBE WORKS LIMITED","NO ACCOUNTS FILED"
"07165965","HELPFUL TECHNOLOGY LIMITED","TOTAL EXEMPTION SMALL"
"08596436","THE STA&R COMPANY LTD","DORMANT"
"08949638","HUMANITY ONLINE LTD","DORMANT"
"05118974","I-GENIUS LIMITED","TOTAL EXEMPTION SMALL"
"06858550","I3 EDUCATION SERVICES LIMITED","TOTAL EXEMPTION SMALL"
"01503908","IBM LIMITED","DORMANT"
"06975940","IGEOLISE LIMITED","TOTAL EXEMPTION SMALL"
"SC384124","INTERNET LIGHT INDUSTRIES LTD","TOTAL EXEMPTION SMALL"
"08341632","XPLORIA LTD","TOTAL EXEMPTION FULL"
"05725823","IMAGES&CO LTD","TOTAL EXEMPTION SMALL"
"08114613","IMPORT.IO LIMITED","TOTAL EXEMPTION SMALL"
"06357985","INFONOMICS LIMITED","TOTAL EXEMPTION SMALL"
"02755304","INFORMED SOLUTIONS LIMITED","SMALL"
"04886072","INMARSAT PLC","GROUP"
"03485430","INTEGRATED TRANSPORT PLANNING LIMITED","SMALL"
"08460806","INTERITION LIMITED","DORMANT"
"04810995","INTERKONECT SERVICES UK LTD","TOTAL EXEMPTION SMALL"
"07783818","INTRASOFT INFORMATION TECHNOLOGY UK LIMITED","DORMANT"
"08494054","SLAPSTICKS CREATIVE LTD","MICRO"
"05753174","ITO WORLD LTD","TOTAL EXEMPTION SMALL"
"08213115","JAVLIN LTD","TOTAL EXEMPTION SMALL"
"07988193","THE JOIN IN TRUST LIMITED","GROUP"
"01213086","J.P. MORGAN CHASE (UK) HOLDINGS LIMITED","GROUP"
"NI019370","KAINOS SOFTWARE LIMITED","GROUP"
"06010285","DASH LABS CONSULTING LTD","TOTAL EXEMPTION SMALL"
"NI609843","KEYBUSINESSINSIGHT LTD","TOTAL EXEMPTION SMALL"
"08825531","KILN ENTERPRISES LTD","TOTAL EXEMPTION SMALL"
"08704044","KNEWTON LIMITED","NO ACCOUNTS FILED"
"08808447","KNOWDATA LIMITED","NO ACCOUNTS FILED"
"03878083","KNOWLEDGE INTEGRATION LTD","TOTAL EXEMPTION SMALL"
"08781104","KNOWNOW INFORMATION LTD","NO ACCOUNTS FILED"
"02127833","KOGNITIO LIMITED","FULL"
"OC301540","KPMG LLP","FULL"
"08642156","KUDOS INNOVATIONS LIMITED","TOTAL EXEMPTION SMALL"
"05156356","LANDMARK ANALYTICS LIMITED","FULL"
"07663081","KEO ENERGYSHARE LIMITED","TOTAL EXEMPTION SMALL"
"04569646","LAST.FM LIMITED","FULL"
"07158006","LEAD FORENSICS LIMITED","TOTAL EXEMPTION SMALL"
"08244058","LEADING EDGE ONLY LTD","TOTAL EXEMPTION SMALL"
"01238274","LIBERATA UK LIMITED","GROUP"
"02032711","LIGHTHOUSE ARTS AND TRAINING LTD","TOTAL EXEMPTION FULL"
"08616210","LOCATABLE LTD","TOTAL EXEMPTION SMALL"
"02372738","LOCKHEED MARTIN UK LIMITED","FULL"
"07236786","LOCRATING LIMITED","TOTAL EXEMPTION SMALL"
"05712175","LOKKU LIMITED","TOTAL EXEMPTION SMALL"
"07117843","LOOK 4 NURSERIES UK LIMITED","TOTAL EXEMPTION FULL"
"06983014","MANCHESTER DIGITAL LABORATORY COMMUNITY INTEREST COMPANY","TOTAL EXEMPTION SMALL"
"00040946","MANCHESTER CITY FOOTBALL CLUB LIMITED","FULL"
"03890740","MEN MEDIA LIMITED","FULL"
"07088037","MAPUMENTAL LTD","SMALL"
"00518685","MARKET RESEARCH SOCIETY(THE)","FULL"
"06080277","MARKLOGIC (UK) LIMITED","FULL"
"08052156","MASTODON C LTD","TOTAL EXEMPTION SMALL"
"08767711","MCKINSEY & COMPANY LME LIMITED","NO ACCOUNTS FILED"
"06567759","NEW MEDIA EDUCATION LIMITED","TOTAL EXEMPTION SMALL"
"06419015","MENDELEY LIMITED","FULL"
"07780310","MICROGENIUS LTD","DORMANT"
"06306298","MIME CONSULTING LIMITED","TOTAL EXEMPTION SMALL"
"05557026","MOBILE PIE LIMITED","TOTAL EXEMPTION SMALL"
"05248454","MODEL FUTURES LIMITED","TOTAL EXEMPTION SMALL"
"08021764","MONEYSAVINGEXPERT.COM LIMITED","FULL"
"03157344","MONEYSUPERMARKET.COM FINANCIAL GROUP LIMITED","FULL"
"07830865","MONGODB UK LIMITED","SMALL"
"03291785","MOTI ROTI","TOTAL EXEMPTION FULL"
"RC000346","MEDICAL RESEARCH COUNCIL",NA
"00820771","MERCK SHARP & DOHME LIMITED","FULL"
"03134834","MUDDY BOOTS SOFTWARE LIMITED","TOTAL EXEMPTION SMALL"
"06759291","THE MUDLARK PRODUCTION COMPANY LIMITED","TOTAL EXEMPTION SMALL"
"03504416","MULTIZONE LIMITED","TOTAL EXEMPTION SMALL"
"07459713","MY SUPPORT BROKER C.I.C.","TOTAL EXEMPTION SMALL"
"SC319767","MYDEX DATA SERVICES COMMUNITY INTEREST COMPANY","TOTAL EXEMPTION SMALL"
"08117427","MYLEARNINGWORX LIMITED","TOTAL EXEMPTION SMALL"
"SC368153","MY CONVERSATION LTD","TOTAL EXEMPTION SMALL"
"05798215","MYSOCIETY LIMITED","SMALL"
"08070190","NEIGHBOURS CAN HELP (UK) LIMITED","DORMANT"
"RC000740","THE NATURAL ENVIRONMENT RESEARCH COUNCIL",NA
"NI032276","NERVE CENTRE - THE","FULL"
"07706036","NESTA","GROUP"
"09091899","NETFLIX SERVICES UK LIMITED","NO ACCOUNTS FILED"
"03193399","NEW ECONOMICS FOUNDATION","GROUP"
"05725574","NICHE SOLUTIONS (UK) LIMITED","TOTAL EXEMPTION SMALL"
"03263498","A.C. NIELSEN COMPANY LIMITED","FULL"
"01887016","NIKE (UK) LIMITED","FULL"
"08637310","NIMBLE LEARN LTD","TOTAL EXEMPTION SMALL"
"02212202","MICROSOFT MOBILE UK LIMITED","FULL"
"06578379","NOMINET CHARITABLE FOUNDATION","FULL"
"03271033","NORTHERN POWERGRID LIMITED","FULL"
"03085018","NTT DATA UK LIMITED","FULL"
"08015198","NATIONAL UNION OF STUDENTS (UNITED KINGDOM)","GROUP"
"07872678","OASIS LOSS MODELLING FRAMEWORK LIMITED","TOTAL EXEMPTION FULL"
"04800880","OXFORD CONSULTANTS FOR SOCIAL INCLUSION LIMITED","TOTAL EXEMPTION SMALL"
"00045810","OGILVY & MATHER GROUP (HOLDINGS) LIMITED","FULL"
"05027696","ONE BRIGHT SPACE LIMITED","TOTAL EXEMPTION SMALL"
"08331415","ONEPOINT IQ LIMITED","DORMANT"
"07462174","DATASMITHS SOLUTIONS LIMITED","TOTAL EXEMPTION SMALL"
"09172118","OPEN ADDRESSES LIMITED","NO ACCOUNTS FILED"
"07847799","OPEN HEALTH CARE UK LTD.","MICRO"
"07535374","OPEN HERITAGE C.I.C.","TOTAL EXEMPTION SMALL"
"05581537","OPEN RIGHTS","TOTAL EXEMPTION FULL"
"08384033","OPEN UTILITY LTD","TOTAL EXEMPTION SMALL"
"05647737","PUSHROD LIMITED","TOTAL EXEMPTION SMALL"
"07444723","CHRINON LTD","TOTAL EXEMPTION SMALL"
"02692297","OPENLINK GROUP LIMITED","TOTAL EXEMPTION SMALL"
"08773413","OPEN SENSORS LTD","NO ACCOUNTS FILED"
"08239058","OPENSIGNAL LIMITED","TOTAL EXEMPTION SMALL"
"05912761","OPENSTREETMAP FOUNDATION","TOTAL EXEMPTION SMALL"
"08247457","EXTREME ELECTRONICS LTD.","DORMANT"
"04199651","OPTA SPORTS DATA LIMITED","FULL"
"01782505","ORACLE CORPORATION UK LIMITED","FULL"
"08647112","OXFORD ANALYTICS AND DATA SERVICES LTD","NO ACCOUNTS FILED"
"04873295","PAERS LIMITED","TOTAL EXEMPTION SMALL"
"04572417","PAOGA LIMITED","TOTAL EXEMPTION SMALL"
"03786457","PARADEX COMPUTING LIMITED","TOTAL EXEMPTION SMALL"
"06951952","PARKOPEDIA LIMITED","TOTAL EXEMPTION SMALL"
"06279941","PARTICIPLE LIMITED","TOTAL EXEMPTION SMALL"
"05328982","PATIENT OPINION LIMITED","TOTAL EXEMPTION SMALL"
"08676757","PEERBY LIMITED","NO ACCOUNTS FILED"
"02699701","PENRHYS PARTNERSHIP LIMITED","SMALL"
"03083575","PEOPLE'S VOICE MEDIA","TOTAL EXEMPTION FULL"
"07541059","PESKY PEOPLE LTD","DORMANT"
"08336833","PHOTOFOUNDATION LTD","DORMANT"
"06978849","PINKFROOT LIMITED","TOTAL EXEMPTION SMALL"
"06636463","PITCHUP.COM LTD","TOTAL EXEMPTION SMALL"
"04563293","PLAN URBAN PROJECTS LTD","TOTAL EXEMPTION SMALL"
"07163429","CULBROOK LIMITED","TOTAL EXEMPTION SMALL"
"02192915","PORISM LIMITED","FULL"
"03347926","POSTCODE ANYWHERE (EUROPE) LIMITED","FULL"
"03247942","PRECISE MEDIA MONITORING LTD","FULL"
"08408608","PRETAGOV LIMITED","TOTAL EXEMPTION SMALL"
"09131843","PROJECT ORACLE EVIDENCE HUB","NO ACCOUNTS FILED"
"08622563","PROJECT PROVENANCE LIMITED","NO ACCOUNTS FILED"
"07688919","PROJECT00 LIMITED","TOTAL EXEMPTION SMALL"
"07967865","PGI - PROTECTION GROUP INTERNATIONAL LTD.","GROUP"
"03998680","PUBLIC-I GROUP LIMITED","SMALL"
"OC303525","PRICEWATERHOUSECOOPERS LLP","GROUP"
"05411976","QUARTET FINANCIAL SYSTEMS LIMITED","SMALL"
"07116058","QUBIT DIGITAL LTD","SMALL"
"03897010","RACKSPACE LIMITED","FULL"
"06666607","TUNA MEDIA LIMITED","TOTAL EXEMPTION SMALL"
"07474165","RADIUMONE (UK) LIMITED","SMALL"
"06794483","RASTER SOLUTIONS LTD","TOTAL EXEMPTION SMALL"
"07075792","RETAIL MONEY MARKET LTD","SMALL"
"08270463","RED C LTD","DORMANT"
"07629373","RED NINJA LTD","TOTAL EXEMPTION SMALL"
"09147957","RESURGENCE VENTURES LIMITED","NO ACCOUNTS FILED"
"08398001","REVOLUTION ANALYTICS LIMITED","TOTAL EXEMPTION SMALL"
"07149780","REWIRED STATE LTD","TOTAL EXEMPTION SMALL"
"01148594","RM EDUCATION LTD","FULL"
"00571546","ROCHE DIAGNOSTICS LIMITED","FULL"
"04563967","ROCKSHORE LTD","TOTAL EXEMPTION SMALL"
"RC000529","ROYAL STATISTICAL SOCIETY",NA
"SC354544","RUDMAN CONSULTING LIMITED","TOTAL EXEMPTION SMALL"
"06510477","SAMKNOWS LIMITED","FULL"
"06714443","SANDBAG CLIMATE CAMPAIGN CIC","TOTAL EXEMPTION FULL"
"05947941","THE OLD SOE LTD.","TOTAL EXEMPTION SMALL"
"SC163518","SCRAN LIMITED","FULL"
"06979284","SCRAPERWIKI LIMITED","TOTAL EXEMPTION SMALL"
"05146461","SEME4 LIMITED","TOTAL EXEMPTION SMALL"
"06617607","SEMETRIC LTD","TOTAL EXEMPTION SMALL"
"05885234","SHOOTHILL LIMITED","TOTAL EXEMPTION SMALL"
"07750091","SIBDOCITY LTD","MICRO"
"03633198","SIRIUS CORPORATION LIMITED","TOTAL EXEMPTION SMALL"
"08230187","SIXTEEN25","TOTAL EXEMPTION SMALL"
"08817349","SKIFT LIMITED","TOTAL EXEMPTION SMALL"
"05916375","SKUWIZZ LIMITED","TOTAL EXEMPTION SMALL"
"07619797","SKYSCAPE CLOUD SERVICES LTD","FULL"
"04294244","SNOWFLAKE SOFTWARE LIMITED","TOTAL EXEMPTION SMALL"
"08025667","SOCIAL CHIC LTD","TOTAL EXEMPTION SMALL"
"07787594","SOCIAL FABRIC INTERACTIVE LIMITED","TOTAL EXEMPTION SMALL"
"NI062615","CUNAMH ICT LIMITED","TOTAL EXEMPTION SMALL"
"07899385","SOCIAL LIFE LTD","TOTAL EXEMPTION SMALL"
"06312190","SOCIAL STOCK EXCHANGE LIMITED","TOTAL EXEMPTION SMALL"
"02888440","SOFTWARE FOR DATA ANALYSIS LIMITED","TOTAL EXEMPTION SMALL"
"02853022","SOLIDSOFT REPLY LIMITED","SMALL"
"06265278","SONGKICK.COM LIMITED","TOTAL EXEMPTION SMALL"
"08989691","SPENDNETWORK.COM LIMITED","NO ACCOUNTS FILED"
"04917291","SPIKES CAVELL ANALYTIC LIMITED","TOTAL EXEMPTION SMALL"
"06436047","SPOTIFY LIMITED","FULL"
"07045667","STARTING POINT COMMUNITY LEARNING PARTNERSHIP LIMITED","TOTAL EXEMPTION SMALL"
"02802585","STAVELEY HEAD LIMITED","TOTAL EXEMPTION SMALL"
"RC000817","THE SCIENCE AND TECHNOLOGY FACILITIES COUNCIL",NA
"07115545","STICKYBOARD LTD","TOTAL EXEMPTION SMALL"
"08934268","STOLEN BIKES UK LTD","NO ACCOUNTS FILED"
"07570195","STORYTHINGS LTD","TOTAL EXEMPTION SMALL"
"07550374","STREETBANK","TOTAL EXEMPTION FULL"
"SC337356","SWIRRL IT LIMITED","TOTAL EXEMPTION SMALL"
"02710846","SYNGENTA LIMITED","FULL"
"04701221","SYSTEMS IN CONTEXT LIMITED","TOTAL EXEMPTION SMALL"
"07118347","TABLEAU SOFTWARE UK LIMITED","SMALL"
"07196638","TALIS EDUCATION LIMITED","FULL"
"07196440","TALIS SYSTEMS LIMITED","FULL"
"07345627","TAXCALCULATOR.CO.UK LTD","TOTAL EXEMPTION SMALL"
"06151011","TAXFIX.CO.UK LIMITED","TOTAL EXEMPTION SMALL"
"OC366391","COOPER RYLATT LLP","TOTAL EXEMPTION SMALL"
"08237432","TECH BRITAIN LIMITED","TOTAL EXEMPTION SMALL"
"01743099","TELEFONICA UK LIMITED","FULL"
"00445790","TESCO PLC","GROUP"
"04351490","MUSIC PICTURES LIMITED","TOTAL EXEMPTION FULL"
"03987067","ASSOCIATION OF CONVENIENCE STORES LIMITED","FULL"
"06994989","THE AUDIENCE AGENCY SERVICES LIMITED","FULL"
"08865619","THE BETTER WITH DATA SOCIETY","NO ACCOUNTS FILED"
"03387654","THE BOFFIN LAB LIMITED","TOTAL EXEMPTION SMALL"
"07943525","THE BRITISH LIBRARY TRUST","TOTAL EXEMPTION FULL"
"07520030","THE BRITISH MUSEUM TRUST LIMITED","FULL"
"01300565","COLLECTIONS TRUST","FULL"
"05785839","THE DEMOCRATIC SOCIETY LIMITED","TOTAL EXEMPTION SMALL"
"IP032340","THE GOOD DATA CO-OPERATIVE LIMITED",NA
"00094531","GUARDIAN MEDIA GROUP PLC","GROUP"
"06480524","INSTITUTE FOR GOVERNMENT","GROUP"
"03487186","LOCAL GOVERNMENT ASSOCIATION (PROPERTIES) LIMITED","FULL"
"SC291663","THE MELTING POT","TOTAL EXEMPTION FULL"
"05133759","OPEN KNOWLEDGE FOUNDATION","FULL"
"08317411","THE POINT PEOPLE LTD","DORMANT"
"06758215","RASPBERRY PI FOUNDATION","GROUP"
"06263821","THE SERVER LABS LTD","TOTAL EXEMPTION SMALL"
"08464329","SUPERNODE FOUNDATION C.I.C.","DORMANT"
"05756723","VOLUNTEER CENTRE BLACKPOOL, WYRE AND FYLDE LIMITED","FULL"
"04723983","THEBLUEBALLROOM LIMITED","TOTAL EXEMPTION SMALL"
"07088009","THECITYUK","FULL"
"03296375","THOMSON REUTERS GROUP LIMITED","FULL"
"04091535","THOUGHTWORKS, LTD","FULL"
"07587834","THUMBPRINT CO-OPERATIVE LIMITED","DORMANT"
"07126880","GRAVITYSTORM LIMITED","TOTAL EXEMPTION SMALL"
"07951518","THWAITES COMMUNICATIONS LIMITED","TOTAL EXEMPTION SMALL"
