"lon","lat"
-0.7830173,53.1049314
-0.0998714,51.5063116
-1.9127332,52.4861693
-2.2320394,53.4800272
-0.6316656,51.5198354
-0.0267922,51.7052961
-0.084907,51.4999442
-0.5813841,51.768313
-0.1270141,51.5299848
-0.1265003,51.5189698
-0.176892,51.4965633
-0.1394387,50.8213922
-0.1024481,51.5226748
-0.1216933,51.5349086
-0.1342703,51.5051912
-0.1267826,51.4955757
0.1537001,52.235259
-0.0876506,51.5049619
-0.1416227,51.5245789
-0.1340388,51.4942796
-0.8215197,51.2062556
-0.0818819,51.5242916
-0.1253072,51.5157314
-0.2452101,51.389147
-0.0561804,51.5360984
-0.1071319,51.5119798
-1.510139,51.4140724
-0.3055271,51.4608503
-0.9961002,51.7718662
-0.1321829,51.5280439
-0.1205236,51.5135956
1.2934649,52.634899
-0.052792,51.5208897
-0.1315893,51.5196535
-0.1063668,51.5136916
-2.219262,52.1934839
-1.5137244,52.4021257
-1.2399456,51.7476025
-1.2779367,51.7532546
-0.081117,51.5225975
-2.9712103,53.4039171
-1.7562367,53.7818837
-0.2236763,51.4938191
-0.7154845,52.001698
-0.1093383,51.5171117
-0.7014765,52.003001
